0
"Date Open High Low Close
Adj Close
Volume"
"Jan 15, 2025 590.33 593.94 589.20 592.78 589.26 56,900,200"
"Jan 14, 2025 584.36 585.00 578.35 582.19 578.73 48,420,600"
"Jan 13, 2025 575.77 581.75 575.35 581.39 577.94 47,910,100"
"Jan 10, 2025 585.88 585.95 578.55 580.49 577.04 73,105,000"
"Jan 8, 2025 588.70 590.58 585.20 589.49 585.99 47,304,700"
"Jan 7, 2025 597.42 597.75 586.78 588.63 585.13 60,393,100"
"Jan 6, 2025 596.27 599.70 593.60 595.36 591.82 47,679,400"
"Jan 3, 2025 587.53 592.60 586.43 591.95 588.44 37,888,500"
"Jan 2, 2025 589.39 591.13 580.50 584.64 581.17 50,204,000"
"Dec 31, 2024 589.91 590.64 584.42 586.08 582.60 57,052,700"
"Dec 30, 2024 587.89 591.74 584.41 588.22 584.73 56,578,800"
"Dec 27, 2024 597.54 597.78 590.76 595.01 591.48 64,969,300"
"Dec 26, 2024 599.50 602.48 598.08 601.34 597.77 41,219,100"
"Dec 24, 2024 596.06 601.34 595.47 601.30 597.73 33,160,100"
"Dec 23, 2024 590.89 595.30 587.66 594.69 591.16 57,635,800"
"Dec 20, 2024 1.966 Dividend"
"Dec 20, 2024 581.77 595.75 580.91 591.15 587.64 125,716,700"
"Dec 19, 2024 591.36 593.00 585.85 586.10 580.67 85,919,500"
"Dec 18, 2024 603.98 606.41 585.89 586.28 580.84 108,248,700"
"Dec 17, 2024 604.19 605.17 602.89 604.29 598.69 55,773,500"
"Dec 16, 2024 606.00 607.78 605.21 606.79 601.16 43,695,200"
"Dec 13, 2024 606.40 607.13 602.81 604.21 598.61 35,904,700"
"Dec 12, 2024 606.58 607.16 604.33 604.33 598.73 31,543,800"
"Dec 11, 2024 605.78 608.43 605.50 607.46 601.83 28,677,700"
"Dec 10, 2024 605.37 605.80 602.13 602.80 597.21 37,234,500"
"Dec 9, 2024 607.69 607.86 604.08 604.68 599.07 34,742,700"
"Dec 6, 2024 607.44 609.07 607.02 607.81 602.17 31,241,500"
"Dec 5, 2024 607.66 608.48 606.30 606.66 601.03 28,762,200"
"Dec 4, 2024 605.63 607.91 604.95 607.66 602.03 42,787,600"
"Dec 3, 2024 603.39 604.16 602.34 603.91 598.31 26,906,600"
"Dec 2, 2024 602.97 604.32 602.47 603.63 598.03 31,746,000"
"Nov 29, 2024 599.66 603.35 599.38 602.55 596.96 30,177,400"
"Nov 27, 2024 600.46 600.85 597.28 598.83 593.28 34,000,200"
"Nov 26, 2024 598.80 601.33 598.07 600.65 595.08 45,621,300"
"Nov 25, 2024 599.52 600.86 595.20 597.53 591.99 42,441,400"
"Nov 22, 2024 593.66 596.15 593.15 595.51 589.99 38,226,400"
"Nov 21, 2024 593.40 595.12 587.45 593.67 588.17 46,750,300"
"Nov 20, 2024 590.38 590.79 584.63 590.50 585.02 50,032,600"
"Nov 19, 2024 584.71 591.04 584.03 590.30 584.83 49,412,000"
"Nov 18, 2024 586.22 589.49 585.34 588.15 582.70 37,001,700"
"Nov 15, 2024 589.72 590.20 583.86 585.75 580.32 75,988,800"
"Nov 14, 2024 597.32 597.81 592.65 593.35 587.85 38,904,100"
"Nov 13, 2024 597.37 599.23 594.96 597.19 591.65 47,388,600"
"Nov 12, 2024 598.68 599.29 594.37 596.90 591.37 43,006,100"
"Nov 11, 2024 599.81 600.17 597.00 598.76 593.21 37,586,800"
"Nov 8, 2024 596.17 599.64 596.17 598.19 592.64 46,444,900"
